created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed May 08 15:49:24 +0000 2024;1788234758797062176;"Cegah Kelangkaan Pangan! DPRD Kota Bekasi Minta Pemkot Jaga Stabilitas Harga https://t.co/lY4Pl7420p";0;0;0;0;in;1628714325816004608;1788234758797062176;rm_jabar;https://twitter.com/rm_jabar/status/1788234758797062176
Wed May 08 15:49:19 +0000 2024;1788234735438926311;"Cegah Kelangkaan Pangan! DPRD Kota Bekasi Minta Pemkot Jaga Stabilitas Harga https://t.co/kKX8oigEyp";0;0;0;0;in;1502441886803390465;1788234735438926311;RM_RajaMedia;https://twitter.com/RM_RajaMedia/status/1788234735438926311
Wed May 08 15:35:08 +0000 2024;1788231165620498730;"Banderol yang murah tetap menjadi pertimbangan utama pembeli. Itu terbukti dalam kenaikan harga beras stabilisasi pasokan dan harga pangan. https://t.co/h8Rjgqm5KE";0;0;0;0;in;1404018642;1788231165620498730;radarmadiunweb;https://twitter.com/radarmadiunweb/status/1788231165620498730
Wed May 08 13:55:54 +0000 2024;1788206195020648627;"Presiden Jokowi Tinjau Stok dan Harga Bahan Pangan di Pasar Baru Karawang: Semuanya Kondisinya Sudah Turun  https://t.co/sw9oQ7qtj6";0;0;0;0;in;1645766699940192260;1788206195020648627;ayobacanews;https://twitter.com/ayobacanews/status/1788206195020648627
Wed May 08 13:20:59 +0000 2024;1788197405386842270;"Gubernur Bank Indonesia (BI) Perry Warjiyo prediksi inflasi ke depan akan tetap terjaga sepanjang 2024. Keyakinan itu turut ditopang oleh harga komoditas pangan yang disebutnya mulai mengalami tren penurunan, termasuk harga beras.   https://t.co/ewzWWMR8Wh  @AidilAKBAR";0;0;0;0;in;1731964323566845952;1788197405386842270;keuangan_;https://twitter.com/keuangan_/status/1788197405386842270
Wed May 08 13:07:56 +0000 2024;1788194124581212396;"@ardisatriawan Daya beli masyarakat rendah, itu dibantu dengan: 1. Mengeluarkan APBN untuk konsumsi masyarakat dengan adanya stimulus 2. Pengendalian harga pangan https://t.co/Knfokf2TBd";0;1;0;0;in;1358395715278364673;1788135787676196907;erenyuh;https://twitter.com/erenyuh/status/1788194124581212396
Wed May 08 10:53:07 +0000 2024;1788160192720621727;"@shallypristine @KemenPU Ditengah2 harga pangan naik, UKT naik, bbm naik, becuk bermasalah, tiket domestik mahalnya naujubilah dan gov wakanda flexing kek gini di medsos??  Agak gak etis menurut gw";0;0;0;0;in;3146515186;1787859986611355987;Churrossly;https://twitter.com/Churrossly/status/1788160192720621727
Wed May 08 10:45:05 +0000 2024;1788158174119477551;"Gerakan Pasar Murah, Stabilisasi Harga Pasokan Pangan di Kota Pekalongan https://t.co/JR15ZML8DH via TribunJateng";0;0;0;0;in;1491721190;1788158174119477551;jatengmembaca;https://twitter.com/jatengmembaca/status/1788158174119477551
Wed May 08 09:51:08 +0000 2024;1788144594326347943;"Menjelang Musim Kemarau, Jokowi Klaim Harga Pangan Turun https://t.co/mJXyndomE1";0;0;0;0;in;1582972008479920129;1788144594326347943;BloombergTZ;https://twitter.com/BloombergTZ/status/1788144594326347943
Wed May 08 09:27:41 +0000 2024;1788138694567940493;"@kumparan Kenapa ga buat menurunkan harga pangan yang melonjak tajam aja sih pak. Pak Karno dan pak Hatta nangis lihat rakyatnya pada ngeluh. Tolong lah bikin hal tu yang bermanfaat dikit. Dikira cari duit gampang!! Kami lho rela panas²an kerja di kebun biar Periuk kami ga terguling!!!";0;1;1;1;in;570972789;1788047814729343099;rieztinacubby;https://twitter.com/rieztinacubby/status/1788138694567940493
Wed May 08 08:44:18 +0000 2024;1788127778598256817;"Presiden Joko Widodo (Jokowi) menyatakan harga beberapa komoditas pangan sudah mengalami penurunan.   "Kita cek, untuk harga-harga cabai, beras, bawang putih, bawang merah semuanya kondisi sudah turun," kata Jokowi ujai mengunjungi Pasar Baru Karawang Jawa Barat.  "Beras banyak… https://t.co/MnbavwR3aJ";2;3;0;0;in;57261519;1788127778598256817;Metro_TV;https://twitter.com/Metro_TV/status/1788127778598256817
