created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue May 07 02:02:07 +0000 2024;1,78766E+18;Pastikan Harga Sembako Stabil, Babinsa Cek Harga Pangan di Kios Milik Warga https://t.co/9cSO0kMsOe https://t.co/56FqYw8Zmc;0;0;0;0;in;622677182;1,78766E+18;KODIM0722;https://twitter.com/KODIM0722/status/1787664178196660361
Tue May 07 01:25:09 +0000 2024;1,78765E+18;Harga Pangan Hari Ini 7 Mei: Daging Ayam dan Cabai Rawit Meroket https://t.co/ls4EOKgszy;0;0;0;0;in;118646322;1,78765E+18;Bisniscom;https://twitter.com/Bisniscom/status/1787654873997365301
Tue May 07 00:38:44 +0000 2024;1,78764E+18;@tanyakanrl Krn gaji segitu2 aj. Sedangkan harga kebutuhan pokok trs naik. Sandang, papan, pangan, BBM dll itu naik terus &amp  naiknya tdk dibarengi dgn kenaikan gaji. Iya kalo bisa nyari side hustle, kalo gak? Lbh baik jgn menyarankan org berhenti ngeluh utk sesuatu yg gak bisa mereka kontrol.;0;2;0;0;in;1,44648E+18;1,78762E+18;smoothcapybara;https://twitter.com/smoothcapybara/status/1787643193481429417
Mon May 06 23:53:04 +0000 2024;1,78763E+18;@tanyakanrl ya emang paling enak nyalahin pemerintah dan buly orang yg kasih pendapat berbeda,mental indo. padhal emng di seluruh dunia harga pangan naik krn banyak penyebabnya,mulai perang,larangan ekspor negra penghasil beras,dll. tapi ya itu ini indo,males mlihat hal positif;0;0;0;0;in;1,17168E+18;1,78762E+18;AbangnyaPatrick;https://twitter.com/AbangnyaPatrick/status/1787631700576723229
Mon May 06 23:27:39 +0000 2024;1,78763E+18;@tanyakanrl Kalau lo nggak ngerasa pemerintah bisa andil dalam mengendalikan harga pangan, ada salah satu pemimpin daerah yang bisa buktiin dengan programnya. Cari sendiri dah programnya, banyak jejak digitalnya. Nggak mau gue drop karena entar disangka bias lagi.;0;0;0;0;in;1,33949E+18;1,78762E+18;akungemes;https://twitter.com/akungemes/status/1787625301541048558
Mon May 06 23:11:15 +0000 2024;1,78762E+18;@DokterTifa Rakyat yg memilih Pemimpin yg eker2an orang2 atas sungguh menyedihkan,rakyat kecil hanya bisa mengharap sembako dan harga pangan  lainnya murah kok yg diatas mementingkan dirinya sendiri dan kelompoknya;0;0;0;3;in;1,39571E+18;1,78762E+18;Budionotaslim3;https://twitter.com/Budionotaslim3/status/1787621176074023413
Mon May 06 22:25:49 +0000 2024;1,78761E+18;"@RagilSemar Lah si @ZUL_Hasan udah biasa ngebacod ny kaya gitu..harga pangan mahal,krn PETANI LIBUR LEBARAN"" ..""";0;0;0;0;in;1,12214E+18;1,78727E+18;BaimSuhadi;https://twitter.com/BaimSuhadi/status/1787609744032817200
Mon May 06 20:54:16 +0000 2024;1,78759E+18;@garudadidada10 Harga sembako yang terjangkau menjadi jaminan keamanan pangan bagi rakyat.;0;0;0;0;in;1,68847E+18;1,78748E+18;bagas_septio;https://twitter.com/bagas_septio/status/1787586701445259673
Mon May 06 20:14:13 +0000 2024;1,78758E+18;Beberapa pertanda buruk dari suatu negara: 1. Apapun yang dipakai dan dimakan oleh rakyatnya dikenakan pajak 2. Besaran pajak yang dibebankan kepada rakyatnya semakin tinggi 3. Negara menaikkan harga pangan dan harga kebutuhan pokok lain yang diatur oleh negara. 4. dan seterusnya;0;0;0;0;in;74681935;1,78758E+18;donibar;https://twitter.com/donibar/status/1787576623627374676
Mon May 06 17:04:00 +0000 2024;1,78753E+18;@perupadata Udah curiga dari akhir 2021 sampai awal 2022 sih, saat harga sembako, pupuk dan pakan ternak naik, pas rakyat protes jawab nya di twitter kementrian malah “itu karena moment tahun baru, imlek, puasa dan natal” jijik banget. Bukannya memberi jaminan keamanan pangan malah foya foya;0;0;0;1;in;138331627;1,78629E+18;dewwiandrian;https://twitter.com/dewwiandrian/status/1787528755545874502
